protein_IDs	previous_values	modified_values	flex_Mass
prot_M7WKX0	2.1343849615219e-05	3.06474749926927e-05	0.000408685655022749
prot_M7WMT2	4.7205886514192e-06	1.83572835105169e-05	0.00105502008000961
prot_M7WRD1	3.48292091167299e-07	5.0011053233677e-07	1.35404620766122e-05
prot_M7WSH3	1.82434585230836e-06	1.9901614754974e-06	7.89728576221853e-06
prot_M7WUY3	7.70060517894685e-07	9.66106601272378e-07	1.32795715892939e-05
prot_M7XIT2	7.8281821527476e-06	1.12404549529487e-05	0.000315605990840707
prot_M7XJ70	1.18804902243426e-05	1.70591491053905e-05	0.000277819823711112
prot_M7XKF0	3.14104395604223e-06	3.66985664851319e-05	0.00132941682596377
prot_M7XRP3	7.88466769993504e-07	1.13215472320874e-06	1.43442394636201e-05
prot_M7XVW7	5.46836901740731e-05	7.51033971898843e-05	0.000768604102184308
